pred,resp
5,2.25
7,2.0942
2,1.6352
37,9.0932
40,8.8
28,8.0808
67,11.8122
83,10.0298
54,10.7176
6,6.1624
87,5.3582
34,4.3936
8,4.0448
12,3.0232
9,1.0136
80,10
78,13.5208
36,6.8584
94,2.2856
23,6.1518
6,4.1624
4,6.3576
86,10.8184
64,10.7696
21,3.8404
96,-1.1696
29,4.2876
81,8.7024
60,9.5
41,8.0344
32,6.9392
82,12.3792
53,8.5508
19,3.5706
19,0.5706
42,7.2672
94,6.2856
66,10.8144
78,7.5208
92,6.6072
66,13.8144
51,11.1914
11,6.0034
46,10.1704
44,9.7256
36,8.8584
98,-1.7632
99,-2.6134
100,-4.5
39,8.5646
18,3.4528
56,14.0224
48,8.5968
37,9.0932
88,6.8688
93,1.9628
23,1.1518
93,2.9628
17,3.3472
59,14.3986
12,0.0232
51,10.1914
40,7.8
6,4.1624
11,0.0034
23,5.1518
52,12.3752
91,4.2194
44,9.7256
12,1.0232
28,6.0808
94,2.2856
71,10.6254
25,4.5
87,6.3582
68,8.7928
49,8.8016
42,7.2672
37,6.0932
38,8.3288
95,-0.425
14,6.1096
48,6.5968
75,14.125
48,6.5968
69,12.7556
53,7.5508
64,13.7696
33,6.1648
4,1.3576
86,6.8184
66,13.8144
31,5.7174
2,0.6352
58,12.2848
72,14.5312
64,12.7696
24,6.3216
37,9.0932
41,10.0344
18,3.4528
3,2.4858
61,9.5884
61,10.5884
65,8.8
1,3.8064
65,12.8
15,5.175
61,10.5884
55,12.875
38,6.3288
25,2.5
59,8.3986
98,3.2368
46,7.1704
28,8.0808
90,7.8
19,4.5706
82,12.3792
79,13.2726
67,14.8122
24,7.3216
82,10.3792
14,1.1096
43,5.4978
49,6.8016
74,8.2816
20,4.7
47,8.3862
27,3.8802
99,-0.6134
5,4.25
17,6.3472
39,4.5646
25,7.5
52,9.3752
93,5.9628
97,2.0512
42,8.2672
1,1.8064
19,1.5706
97,4.0512
10,0
92,1.6072
38,9.3288
42,5.2672
16,3.2544
34,4.3936
26,5.6864
61,13.5884
67,13.8122
67,11.8122
8,4.0448
71,11.6254
53,11.5508
65,10.8
46,10.1704
98,0.2368
98,0.2368
42,5.2672
71,9.6254
92,3.6072
40,4.8
30,5.5
4,0.3576
77,8.7452
69,13.7556
9,6.0136
97,2.0512
8,0.0448
91,5.2194
21,3.8404
29,4.2876
30,8.5
73,8.4168
55,7.875
46,12.1704
78,12.5208
33,9.1648
12,5.0232
15,2.175
8,6.0448
91,4.2194
53,13.5508
100,0.5
37,7.0932
67,10.8122
2,5.6352
76,12.9464
61,12.5884
9,5.0136
1,5.8064
92,1.6072
63,12.7238
25,4.5
68,9.7928
94,0.2856
63,11.7238
18,1.4528
2,4.6352
25,5.5
2,3.6352
3,2.4858
20,5.7
31,8.7174
45,8.95
17,0.3472
6,5.1624
5,6.25
26,1.6864
7,0.0942
70,13.7
52,9.3752
30,5.5
73,11.4168
36,5.8584
76,10.9464
71,10.6254
21,2.8404
93,0.9628
95,5.575
45,6.95
84,11.6536
97,4.0512
88,3.8688
47,10.3862
28,5.0808
32,5.9392
65,13.8
80,11
19,0.5706
31,2.7174
34,6.3936
26,2.6864
86,8.8184
17,2.3472
78,10.5208
55,13.875
94,2.2856
41,6.0344
2,4.6352
62,13.6632
73,8.4168
77,12.7452
13,6.0588
67,12.8122
37,10.0932
13,1.0588
68,13.7928
64,10.7696
33,5.1648
94,2.2856
13,1.0588
91,2.2194
92,6.6072
28,4.0808
39,4.5646
51,7.1914
79,8.2726
84,6.6536
8,2.0448
71,11.6254
23,1.1518
99,-2.6134
37,8.0932
44,7.7256
44,11.7256
7,5.0942
36,3.8584
41,10.0344
78,8.5208
92,7.6072
60,12.5
77,12.7452
14,0.1096
65,8.8
16,3.2544
76,13.9464
98,3.2368
52,10.3752
48,7.5968
49,7.8016
46,8.1704
16,3.2544
63,11.7238
9,2.0136
28,8.0808
66,9.8144
33,8.1648
23,3.1518
39,8.5646
42,9.2672
17,5.3472
70,8.7
6,1.1624
78,8.5208
58,11.2848
76,13.9464
42,10.2672
67,14.8122
5,5.25
81,8.7024
71,14.6254
3,2.4858
69,9.7556
69,13.7556
84,9.6536
75,12.125
29,5.2876
53,12.5508
26,3.6864
87,9.3582
58,13.2848
65,8.8
2,1.6352
28,4.0808
67,12.8122
41,11.0344
82,10.3792
58,8.2848
52,10.3752
43,11.4978
17,4.3472
23,2.1518
94,0.2856
23,3.1518
33,4.1648
25,2.5
12,0.0232
41,10.0344
74,14.2816
30,4.5
18,1.4528
42,6.2672
68,10.7928
34,5.3936
66,8.8144
5,3.25
68,10.7928
9,5.0136
60,10.5
35,5.625
16,6.2544
47,10.3862
8,3.0448
94,0.2856
71,14.6254
56,11.0224
85,9.25
35,9.625
98,0.2368
15,3.175
28,3.0808
8,1.0448
45,11.95
9,5.0136
50,10
2,4.6352
96,4.8304
30,2.5
47,8.3862
93,4.9628
85,10.25
69,11.7556
50,12
3,0.4858
13,2.0588
82,10.3792
8,3.0448
11,3.0034
96,-0.1696
31,7.7174
37,9.0932
84,6.6536
100,-3.5
42,11.2672
40,5.8
76,10.9464
38,5.3288
33,8.1648
89,4.3496
45,11.95
48,7.5968
75,14.125
60,12.5
70,14.7
67,9.8122
46,11.1704
57,14.1592
3,2.4858
63,11.7238
1,3.8064
93,3.9628
57,13.1592
23,1.1518
94,3.2856
56,14.0224
22,5.9912
61,9.5884
18,5.4528
